YOOX NET-A-PORTER GROUP,GRUPPO MEDIOBANCA SPA,2,41
YOOX NET-A-PORTER GROUP,PWC SPA,8,80
YOOX NET-A-PORTER GROUP,RCS MEDIAGROUP,3,6
YOOX NET-A-PORTER GROUP,BARCLAYS BANK,3,6
YOOX NET-A-PORTER GROUP,DSQUARED2 SPA,2,6
YOOX NET-A-PORTER GROUP,L'OREAL,6,6
YOOX NET-A-PORTER GROUP,GUCCI,5,6
YOOX NET-A-PORTER GROUP,BOTTEGA VENETA,2,6
YOOX NET-A-PORTER GROUP,GOOGLE,2,6
YOOX NET-A-PORTER GROUP,LUXOTTICA GROUP SPA,9,6
YOOX NET-A-PORTER GROUP,PANDORA SPA,2,6
YOOX NET-A-PORTER GROUP,LOUIS VUITTON,2,6
YOOX NET-A-PORTER GROUP,PRADA GROUP,2,6
YOOX NET-A-PORTER GROUP,CALZEDONIA GROUP,2,27
YOOX NET-A-PORTER GROUP,VERSACE,3,6
YOOX NET-A-PORTER GROUP,GRUPPO BNP PARIBAS,2,116
YOOX NET-A-PORTER GROUP,SAIPEM SPA,2,6
YOOX NET-A-PORTER GROUP,AUTOGRILL SPA,3,6
YOOX NET-A-PORTER GROUP,UNICREDIT GROUP,5,6
YOOX NET-A-PORTER GROUP,DUCATI MOTOR HOLDING,2,6
YOOX NET-A-PORTER GROUP,ENI GAS E LUCE,2,6
YOOX NET-A-PORTER GROUP,ENGINEERING INGEGNERIA INFORMATICA SPA,2,6
YOOX NET-A-PORTER GROUP,ADECCO,2,137
YOOX NET-A-PORTER GROUP,IBM COMPANY,3,6
YOOX NET-A-PORTER GROUP,IED - ISTITUTO EUROPEO DI DESIGN,2,98
YOOX NET-A-PORTER GROUP,GRUPPO FCA,3,6
YOOX NET-A-PORTER GROUP,LA RINASCENTE SPA,4,6
YOOX NET-A-PORTER GROUP,EMILIO PUCCI,2,6
YOOX NET-A-PORTER GROUP,CAPGEMINI SPA,7,6
YOOX NET-A-PORTER GROUP,AMAZON,9,6
YOOX NET-A-PORTER GROUP,WHIRLPOOL CORPORATION,2,137
YOOX NET-A-PORTER GROUP,ERICSSON,2,6
YOOX NET-A-PORTER GROUP,FENDI,2,6
YOOX NET-A-PORTER GROUP,REPLY SPA,3,6
YOOX NET-A-PORTER GROUP,SEPHORA,2,27
YOOX NET-A-PORTER GROUP,DELOITTE,4,6
YOOX NET-A-PORTER GROUP,GRUPPO MONDADORI,4,6
YOOX NET-A-PORTER GROUP,COOP,2,6
YOOX NET-A-PORTER GROUP,HITACHI,2,4
YOOX NET-A-PORTER GROUP,GRUPPO CARREFOUR,4,6
YOOX NET-A-PORTER GROUP,EY SPA,2,137
YOOX NET-A-PORTER GROUP,FREE LANCE,2,6
YOOX NET-A-PORTER GROUP,EXPRIVIA HEALTHCARE SRL,2,6
YOOX NET-A-PORTER GROUP,DEDALUS SPA,4,6
YOOX NET-A-PORTER GROUP,PIRELLI,2,43
YOOX NET-A-PORTER GROUP,MSC CRUISES,2,6
YOOX NET-A-PORTER GROUP,CINECA,3,6
YOOX NET-A-PORTER GROUP,CONFINDUSTRIA,3,6
YOOX NET-A-PORTER GROUP,UNIVERSITA LUIGI BOCCONI,2,6
YOOX NET-A-PORTER GROUP,BOSTON CONSULTING GROUP (BCG),2,141
YOOX NET-A-PORTER GROUP,MICROSOFT,2,6
YOOX NET-A-PORTER GROUP,CONTACTLAB,2,6
